ToLID,Species,NCBI Species,Common name,Assembly version,Pipeline version,Curated,Required purging? (HiC asm only),Total bp,Genome size¹,Heterozygosity¹,Sequencing depth,Repeat content¹,Sex (metadata),Heterogametic,Mitogenome?,Assembler,Instance,Bionano,Draft assembly folder,,Curated assembly folder,Notes,% assigned to chr,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Scaffold NG50,Scaffold auNG,Scaffold LG50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Contig NG50,Contig auNG,Contig LG50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content %
aGasCar1,Gastrophryne carolinensis,Gastrophryne carolinensis,Eastern narrowmouth toad,hap1,vgp_hic_2.0,20220713,N,"131,979,023,001","4,095,803,536",1.45,32,62.00,not determined,-,N,Linelle Abueg,RU,N,s3://genomeark/species/Gastrophryne_carolinensis/aGasCar1/assembly_vgp_HiC_2.0/,,s3://genomeark/species/Gastrophryne carolinensis/aGasCar1/assembly_curated/,YAHS run locally,99.03,1123,4339645713,3864332.78,513356448,470199970.8,4,513356448,498193155.4,4,654743633,1000,2746,4339321113,1580233.47,4944631,6463921.47,249,5281947,6848236.41,225,31750250,1000,1623,324600,200,200,200,812,200,200,1156455849:1014715636:1014996147:1153153481,46.77
aGasCar1,Gastrophryne carolinensis,Gastrophryne carolinensis,Eastern narrowmouth toad,hap2,vgp_hic_2.0,20220713,N,"131,979,023,001","4,095,803,536",1.45,32,62.00,not determined,-,N,Linelle Abueg,RU,N,s3://genomeark/species/Gastrophryne_carolinensis/aGasCar1/assembly_vgp_HiC_2.0/,,s3://genomeark/species/Gastrophryne carolinensis/aGasCar1/assembly_curated/,YAHS run locally,99.33,720,4302441982,5975613.86,517518214,467843980.2,4,517518214,491447298,4,649859634,1000,2359,4302114182,1823702.49,4845000,6257857.82,252,5065000,6573073.79,232,25285617,1000,1639,327800,200,200,200,820,200,200,1144877347:1006082949:1006084740:1145069146,46.77
aHylSar1,Hyla sarda,Hyla sarda,Sardinian tree frog,hap1,vgp_hic_2.0,20221208,N,"119,647,503,612","3,749,586,442",1.08,31,61.20,F,-,Y,Linelle Abueg,RU,Y,s3://genomeark/species/Hyla_sarda/aHylSar1/assembly_vgp_hic_2.0/,,,local galaxy,91.21,3606,4150062862,1150877.11,417677347,453730558.3,4,505300156,502191473.3,3,886279237,1000,5817,4149620662,713360.95,3778457,5889522.37,272,4426236,6517861.12,223,41226019,1000,2211,442200,200,200,200,1106,200,200,1164023057:910835164:910743875:1164018566,43.9
aHylSar1,Hyla sarda,Hyla sarda,Sardinian tree frog,hap2,vgp_hic_2.0,-,N,"119,647,503,612","3,749,586,442",1.08,31,61.20,F,-,Y,Linelle Abueg,RU,Y,s3://genomeark/species/Hyla_sarda/aHylSar1/assembly_vgp_hic_2.0/,,,local galaxy,-,2796,4075267908,1457535.02,380637514,344127782.2,5,419944051,374018022.7,4,605398700,1000,4890,4074849108,833302.48,3998122,5780043.98,258,4516170,6281441.28,220,26175546,1000,2094,418800,200,200,200,1047,200,200,1144360609:893422459:893885889:1143180151,43.86
aPseCor3,Pseudophryne corroboree,Pseudophryne bibronii,Corroboree frog,hap2,vgp_hic_2.0,20221217,N,"119,647,503,612","8,455,438,380",0.47,27,73.80,M,-,N,Linelle Abueg,RU,Y,s3://genomeark/species/Pseudophryne_corroboree/aPseCor3/assembly_vgp_hic_2.0/,,,local galaxy,94.58,3315,8876413015,2677650.98,792631323,660736475.7,5,792631323,693632853.6,5,1187467257,1000,5841,8853605545,1515768.8,6819095,9435181.49,353,7166398,9879484.83,324,49049723,159,2528,22807470,9021.94,81389,129836.13,75,697514,13,2405076073:2020362249:2022223889:2405943334,45.66
aSpeBom1,Spea bombifrons,Spea bombifrons,Plain's spadefoot toad,20220205,vgp_standard_2.0,20220401,-,"43,235,676,279","959,239,875",1.73,45,28.60,F,-,N,Nadolina Brajuka,EU,Y,s3://genomeark/species/Spea_bombifrons/aSpeBom1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Spea bombifrons/aSpeBom1/assembly_curated/,,99.77,93,1001807465,10772123.3,109389205,87370308.67,4,109389205,91247486.4,4,165483513,23245,175,995568931,5688965.32,21170366,34607325.6,10,21170366,35918000.3,10,90256550,23245,82,6238534,76079.68,1588759,1133429.51,2,1740727,13,296438694:201448584:201363730:296317923,40.46
bAcrTri1,Acridotheres tristis,Acridotheres tristis,Common myna,20220117,vgp_standard_2.0,20220318,-,"40,551,100,487","1,354,313,347",0.56,30,30.00,F,Y,Y,"Linelle Abueg, Grenville MacDonald Gooder",EU,Y,s3://genomeark/species/Acridotheres_tristis/bAcrTri1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Acridotheres tristis/bAcrTri1/assembly_curated/,,90.78,573,1194264160,2084230.65,71937705,63349940.89,6,29697385,55863411.6,8,150121037,19302,894,1191149388,1332381.87,7308823,9386624.09,44,6530360,8255749.35,56,32755575,17121,322,3114772,9673.2,249219,259123.75,4,587868,13,343699917:251435985:252724918:343288568,42.33
bAmmCau1,Ammodramus caudacutus,Ammodramus caudacutus,Salt marsh sparrow,20220223,vgp_standard_2.0,20220422,-,"44,306,584,271","1,225,461,744",0.24,36,21.40,F,Y,N,Brian O'Toole,EU,Y,s3://genomeark/species/Ammodramus_caudacutus/bAmmCau1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Ammodramus caudacutus/bAmmCau1/assembly_curated/,,94.65,387,1243305876,3212676.68,34285352,49261702.93,9,39973966,49979010,8,114163864,14639,645,1239216328,1921265.62,8252193,11705976.6,39,8438390,11837364.5,38,43812934,14639,260,4089548,15729.03,176386,193792.12,7,391762,13,349925042:269490940:269606740:350193606,43.5
bAmmNel1,Ammospiza nelsoni,Ammodramus nelsoni,Nelson's sparrow,20220222,vgp_standard_2.0,20220429,-,"44,269,628,291","1,190,976,425",0.57,37,21.30,F,Y,N,Nivesh Jain,EU,Y,s3://genomeark/species/Ammospiza_nelsoni/bAmmNel1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Ammospiza nelsoni/bAmmNel1/assembly_curated/,,96.36,105,1185512656,11290596.7,40159020,52770877.56,8,40159020,52528783.9,8,114791399,28662,292,1180370373,4042364.29,12036358,15945081.3,27,12036358,15803084.9,27,50792433,28662,187,5142283,27498.84,1448458,971194.91,2,1645319,13,336453641:253940363:253774694:336201675,43.01
bAraAra1,Ara ararauna,Ara ararauna,Blue-and-gold macaw,hap1,vgp_hic_2.0,20230118,N,"55,000,736,328","1,216,579,398",0.32,43,16.10,M*,N,N,Linelle Abueg,RU,Y,,,,,97.89,280,1234161064,4407718.09,109516437,98638247.22,5,109516437,100063739.6,5,163024144,10552,353,1223372069,3465643.25,38811057,43728431.51,10,38811057,43972585.61,10,107111114,10552,77,10788995,140116.82,4806396,4396776.56,2,4911336,13,349734441:260556189:261675849:351405590,42.69
bAraAra1,Ara ararauna,Ara ararauna,Blue-and-gold macaw,hap2,vgp_hic_2.0,20230118,N,"55,000,736,328","1,216,579,398",0.32,43,16.10,M*,N,N,Linelle Abueg,RU,Y,,,,,93.91,307,1302410276,4242378.75,103630790,96894475.49,5,103630790,103730476.4,5,169778623,15536,405,1301165627,3212754.63,30109517,39865947.03,11,33131698,42637743.2,10,87619291,15536,98,1244649,12700.5,143014,141164.37,4,233666,13,369256435:281927836:281466558:368514798,43.3
bColStr4,Colius striatus,Colius,Speckled mousebird,hap1,vgp_hic_2.0,20230216,N,"41,140,712,222","1,130,197,506",0.65,36,12.60,F,Y,N,Linelle Abueg,RU,Y,s3://genomeark/species/Colius_striatus/bColStr4/assembly_vgp_standard_2.0/,,s3://genomeark/species/Colius striatus/bColStr4/assembly_curated/,,96.45,227,1159734284,5108961.6,58796297,90701630.09,5,2465505,47151567.5,40,235956491,12990,328,1113550850,3394972.1,22445975,32908828.3,14,0,16426499.3,0,111994057,12990,103,46183434,448382.85,31853376,22791357.9,1,31853376,13,320884900:235865163:235915334:320885453,42.37
bColStr4,Colius striatus,Colius,Speckled mousebird,hap2,vgp_hic_2.0,20230216,N,"41,140,712,222","1,130,197,506",0.65,36,12.60,F,Y,N,Linelle Abueg,RU,Y,s3://genomeark/species/Colius_striatus/bColStr4/assembly_vgp_standard_2.0/,,s3://genomeark/species/Colius striatus/bColStr4/assembly_curated/,,93.31,265,1246586293,4704099.22,59190243,80535060.1,6,5445007,45001799.6,29,207394024,16990,397,1241099988,3126196.44,19371609,21214322.9,21,2477920,11802078.3,86,50839416,16990,132,5486305,41562.92,4803109,4218012.64,1,4803109,13,356152631:264744808:264333141:355869408,42.63
bCorHaw1,Corvus hawaiiensis,Corvus hawaiiensis,Hawaiian crow,20210729,vgp_standard_2.0,20210920,-,"35,308,891,812","1,081,864,808",0.34,33,10.99,F,Y,,Giulio Formenti,EU,Y,s3://genomeark/species/Corvus_hawaiiensis/bCorHaw1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Corvus hawaiiensis/bCorHaw1/assembly_curated/,,98.38,344,1168122734,3395705.62,65841560,59352468.02,7,68800448,64084686.6,6,121058290,2297,481,1150624425,2392150.57,23064755,27932449.4,15,23113903,29707740.1,14,80326523,2297,139,17498309,125887.12,7664775,6833677.33,2,7670994,13,326205069:249388676:248864729:326165951,43.3
bDixPip1,Dixiphia pipra,Dixiphia pipra,White-crowned manakin,hap1,vgp_hic_2.0,NA,N,"57,852,071,367","989,883,326",1.16,55,6.80,F,Y,,Cassidy Johnson,RU,N,,,,,97.04,720,1111710018,1544041.69,75011098,74072027.8,6,75758576,83188203.29,5,155837969,1000,987,1111656618,1126298.5,12955491,13793772.91,28,14464180,15490652.83,24,39854227,1000,267,53400,200,200,200,134,200,200,320279021:235187617:235587595:320602385,42.35
bDixPip1,Dixiphia pipra,Dixiphia pipra,White-crowned manakin,hap2,vgp_hic_2.0,NA,N,"57,852,071,367","989,883,326",1.16,55,6.80,F,Y,,Cassidy Johnson,RU,N,,,,,96.38,639,1083648690,1695850.85,75607740,71892115.99,5,75607740,78701999.78,5,156443622,1000,946,1083587290,1145441.11,10043000,12827330.39,31,11166331,14041586.33,27,44034880,1000,307,61400,200,200,200,154,200,200,309541846:231542485:232373260:310129699,42.81
bMelGeo1,Melospiza georgiana,Melospiza georgiana,Swamp sparrow,20220411,vgp_standard_2.0,20220520,-,"45,826,190,478","1,334,824,158",1.17,34,30.40,F,Y,N,Tatiana Tilley,EU,Y,s3://genomeark/species/Melospiza_georgiana/bMelGeo1/assembly_vgp_standard_2.0/,,s3://genomeark/species/Melospiza georgiana/bMelGeo1/assembly_curated/,,98.34,72,1174309145,16309849.2,55432242,53021039.36,8,32012489,46645163.7,10,118238823,210508,276,1160782308,4205733,10446106,11153873.7,36,7607103,9699569.13,46,29976604,51213,210,13526837,64413.51,5102863,3992606.61,2,5169984,13,330600930:250166966:249871082:330143330,43.08
bOpiHoa1,Opisthocomus hoazin,Opisthocomus hoazin,Hoatzin,hap1,vgp_hic_2.0,NA,N,"57,400,950,037","1,316,591,102",0.58,42,19.90,F,Y,,Linelle Abueg,RU,N,,,,,96.23,452,1348465036,2983330,78072963,73466242.6,7,80946297,75244819.22,6,155730147,14498,647,1348426036,2084121,16855523,20255575.43,26,16905070,20745351.57,25,84052069,14498,195,39000,200,200,200,98,200,200,365779628:308119847:307841824:366684737,45.68
bOpiHoa1,Opisthocomus hoazin,Opisthocomus hoazin,Hoatzin,hap2,vgp_hic_2.0,NA,N,"57,400,950,037","1,316,591,102",0.58,42,19.90,F,Y,,Linelle Abueg,RU,N,,,,,94.76,348,1490665759,4283522,81074052,73037224.1,7,88444661,82693927.48,6,155771494,15489,586,1490618159,2543717,13019169,15282899.33,35,14494732,17302993.49,28,44884072,15489,238,47600,200,200,200,119,200,200,403874579:340440074:341748565:404554941,45.77
